title,price,link,category,storage,average_price,median_price
iPhone 12,2200,https://www.finn.no/recommerce/forsale/item/374340475,Regular,Unknown,2613.59,2500.00
iPhone 11 64GB,1500,https://www.finn.no/recommerce/forsale/item/374334930,Regular,64GB,1890.70,1950.00
iPhone 11 Black 64GB,2500,https://www.finn.no/recommerce/forsale/item/364023175,Regular,64GB,1890.70,1950.00
iPhone 11 256 gb,2499,https://www.finn.no/recommerce/forsale/item/374319973,Regular,256GB,3749.50,3749.50
Knust Apple iPhone 11 pro,1000,https://www.finn.no/recommerce/forsale/item/374318549,Pro,Unknown,1000.00,1000.00
iPhone 11 pro,2500,https://www.finn.no/recommerce/forsale/item/374301083,Pro,Unknown,1964.12,2000.00
Defekt iPhone 12,1999,https://www.finn.no/recommerce/forsale/item/374296316,Regular,Unknown,5099.95,5000.00
iPhone 11 pro,2000,https://www.finn.no/recommerce/forsale/item/374270979,Pro,Unknown,1964.12,2000.00
iPhone 11 128GB,2000,https://www.finn.no/recommerce/forsale/item/374268723,Regular,128GB,2166.62,2000.00
iPhone 13,1500,https://www.finn.no/recommerce/forsale/item/374262837,Regular,Unknown,4788.55,5000.00
iPhone 12,2000,https://www.finn.no/recommerce/forsale/item/374241928,Regular,Unknown,2613.59,2500.00
iPhone 11 64 GB,1750,https://www.finn.no/recommerce/forsale/item/374243923,Regular,64GB,1890.70,1950.00
iPhone 11Pro Max,2500,https://www.finn.no/recommerce/forsale/item/374234367,Pro Max,Unknown,2500.00,2500.00
iPhone 11 pro til salgs.,1990,https://www.finn.no/recommerce/forsale/item/374228091,Pro,Unknown,1964.12,2000.00
iPhone 11 pro Max,2500,https://www.finn.no/recommerce/forsale/item/374222572,Pro Max,Unknown,2262.44,2000.00
iPhone 11,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=374181010,Regular,Unknown,2029.98,2000.00
iPhone 13 Pro 256GB (Knust),2500,https://www.finn.no/bap/forsale/ad.html?finnkode=374172753,Pro,256GB,5975.74,6000.00
iPhone 11 Pro Max 256GB,2250,https://www.finn.no/recommerce/forsale/item/374124091,Pro Max,256GB,2375.00,2375.00
iPhone 11 128gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=374136769,Regular,128GB,2166.62,2000.00
iPhone 12 64GB,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=374108726,Regular,64GB,2477.22,2500.00
iPhone 11 Pro 64GB i meget god stand,2500,https://www.finn.no/recommerce/forsale/item/374102866,Pro,64GB,2077.67,2499.00
iPhone 11,2000,https://www.finn.no/recommerce/forsale/item/374009739,Regular,Unknown,2029.98,2000.00
iPhone 12 64GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=374019400,Regular,64GB,2477.22,2500.00
iPhone 11 helt ny skjerm,2000,https://www.finn.no/recommerce/forsale/item/374004514,Regular,Unknown,2029.98,2000.00
iPhone 11 Pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373995508,Pro,Unknown,1964.12,2000.00
iPhone 11 Pro 256GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373976190,Pro,256GB,2224.88,2150.00
iPhone 11,2500,https://www.finn.no/recommerce/forsale/item/373946077,Regular,Unknown,2029.98,2000.00
