title,price,link,category,storage
iPhone 11 64 GB Black,1 800 kr,https://www.finn.no/recommerce/forsale/item/374344355,Regular,64GB
iPhone 11 pro Max,1 600 kr,https://www.finn.no/recommerce/forsale/item/374305665,Regular,Unknown
iPhone 12,2 200 kr,https://www.finn.no/recommerce/forsale/item/374340475,Regular,Unknown
iPhone 11 64GB,1 500 kr,https://www.finn.no/recommerce/forsale/item/374334930,Regular,64GB
iPhone 11 Black 64GB,2 500 kr,https://www.finn.no/recommerce/forsale/item/364023175,Regular,64GB
iPhone 11 256 gb,2 499 kr,https://www.finn.no/recommerce/forsale/item/374319973,Regular,256GB
Knust Apple iPhone 11 pro,1 000 kr,https://www.finn.no/recommerce/forsale/item/374318549,Regular,Unknown
iPhone 11 pro,2 500 kr,https://www.finn.no/recommerce/forsale/item/374301083,Regular,Unknown
Defekt iPhone 12,1 999 kr,https://www.finn.no/recommerce/forsale/item/374296316,Regular,Unknown
iPhone 12 mini 64GB,2 500 kr,https://www.finn.no/recommerce/forsale/item/374280249,Regular,64GB
iPhone 11 pro,2 000 kr,https://www.finn.no/recommerce/forsale/item/374270979,Regular,Unknown
iPhone 11 128GB,2 000 kr,https://www.finn.no/recommerce/forsale/item/374268723,Regular,128GB
iPhone 13,1 500 kr,https://www.finn.no/recommerce/forsale/item/374262837,Regular,Unknown
iPhone 12,2 000 kr,https://www.finn.no/recommerce/forsale/item/374241928,Regular,Unknown
iPhone 11 – Selges billig,950 kr,https://www.finn.no/recommerce/forsale/item/374237714,Regular,Unknown
iPhone 11 64 GB,1 750 kr,https://www.finn.no/recommerce/forsale/item/374243923,Regular,64GB
iPhone 11Pro Max,2 500 kr,https://www.finn.no/recommerce/forsale/item/374234367,Pro Max,Unknown
iPhone 11 pro til salgs.,1 990 kr,https://www.finn.no/recommerce/forsale/item/374228091,Regular,Unknown
iPhone 11 pro Max,2 500 kr,https://www.finn.no/recommerce/forsale/item/374222572,Regular,Unknown
iPhone 11,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374181010,Regular,Unknown
iPhone 13 Pro 256GB (Knust),2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374172753,Pro,256GB
iPhone 15 Pro case - Studio Ghibli,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=362576298,Pro,Unknown
iPhone 11 Pro Max 256GB,2 250 kr,https://www.finn.no/recommerce/forsale/item/374124091,Pro Max,256GB
iPhone 11 128gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374136769,Regular,128GB
iPhone 12 64GB,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374108726,Regular,64GB
iPhone 12 mini 64gb,2 050 kr,https://www.finn.no/recommerce/forsale/item/374108482,Regular,64GB
iPhone 11 Pro 64GB i meget god stand,2 500 kr,https://www.finn.no/recommerce/forsale/item/374102866,Pro,64GB
iPhone 12 mini 64Gb Pent Brukt,2 299 kr,https://www.finn.no/recommerce/forsale/item/374053360,Regular,64GB
iPhone 11,2 000 kr,https://www.finn.no/recommerce/forsale/item/374009739,Regular,Unknown
iPhone 12 64GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374019400,Regular,64GB
iPhone 11 helt ny skjerm,2 000 kr,https://www.finn.no/recommerce/forsale/item/374004514,Regular,Unknown
iPhone 12 mini 64gb.,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=374002320,Regular,64GB
